nodes count;graph signature;Diameter;average distance;generating time (ms);connections count
30;C(30, 1, 3, 4, 5, 8, 9, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 9, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 9, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 9, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 9, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 8, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 5, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 9, 10);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 9, 11);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 9, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 9, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 9, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 8, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 9, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 7, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 9, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 8, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 6, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 9, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 8, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 7, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 8, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 9, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 4, 9, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 9, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 9, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 9, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 4, 10, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 9, 10);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 9, 11);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 9, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 9, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 9, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 8, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 9, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 7, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 9, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 8, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 6, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 9, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 8, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 7, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 8, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 9, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 5, 9, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 9, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 9, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 9, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 5, 10, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 10, 11);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 10, 12);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 10, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 10, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 9, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 8, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 7, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 10, 11, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 10, 11, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 10, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 10, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 10, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 9, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 8, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 9, 10, 11, 12, 13);2;1.448276;29;240
30;C(30, 1, 3, 6, 9, 10, 11, 12, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 9, 10, 11, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 9, 10, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 9, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 6, 10, 11, 12, 13, 14);2;1.448276;29;240
30;C(30, 1, 3, 7, 8, 9, 10, 11, 12);2;1.448276;29;240
30;C(30, 1, 3, 7, 8, 9, 10, 11, 13);2;1.448276;29;240
